date,processed_content
2025-10-14,i gave it 5 stars before but the reason imnot right now is because rhe new update is a mess it made the controls too annoying after every text i type it opens thw side bar settings i hate how you have to always drag it away other then that chatgpts been my number 1
2025-10-14,धनयवद
2025-10-14,chatgpt is very helpful app specially in business perspective and it also gives very good advices for personal life
2025-10-14,this is one
2025-10-14,your ai is so great i love this
2025-10-14,ibrankna
2025-10-14,gud
2025-10-14,i liked it
2025-10-14,революционное приложение
2025-10-14,priyanshi
2025-10-14,great app
2025-10-14,very good but photo limit should be increased
2025-10-14,शशश
2025-10-14,easy to navigate and it gives an accurate response to my prompt
2025-10-14,this is waste because it will not give correct answer and it dont know to read kannada
2025-10-14,super ai app like no other anyone ask why tell them i said so
2025-10-14,nice and perfect
2025-10-14,enable the application to use all the camera lenses for clicking a picture for image search allow user to go to the top of chat in one tap also add functionality to remember where user left reading the chat and resume the next time
2025-10-14,subscribed again because i found the legacy models the day chatgpt 4 gets unavailable im deleating my account for good totally hate chatgpt 5
2025-10-14,not interested
2025-10-14,very helpfull
2025-10-14,great app easy to use
2025-10-14,wow
2025-10-14,assalamualaikum wa rhmtullahe wa brkatuh bohhht jazakallah its vary helpful for islamic studiees jazakallah
2025-10-14,peak
2025-10-14,this is a very good app
2025-10-14,very nice appa
2025-10-14,amazing app try it guys
2025-10-14,very knowledgeable it nice
2025-10-14,this is so boring he tries to threaten me ez kid
2025-10-14,after only 2 photos we have to upgrade only that thing i didnt like
2025-10-14,vary gooooooood
2025-10-14,very good for every one
2025-10-14,this app for student is best
2025-10-14,exceptional
2025-10-14,its helpful to me
2025-10-14,this is very very useful
2025-10-14,_ am i looking yes
2025-10-14,really great if you want the opposite of what you request and want to spend 3 hours answering the same question to still be wrong
2025-10-14,very bad app
2025-10-14,very useful app
2025-10-14,তথয ভয লজজয
2025-10-14,i like this give nice answer and protips n n
2025-10-14,very app
2025-10-14,app ta onak upokari
2025-10-14,isme koi sexual picture nhi banti ye bekar h
2025-10-14,يساعدني واجد مره حلوو it helps me soo much thank you
2025-10-14,very very bad
2025-10-14,great experience
2025-10-14,super good
2025-10-14,চতর
2025-10-14,good night app my life is easy
2025-10-14,best for students
2025-10-14,theek hai
2025-10-14,one of the best thing that has been created for students 10010 app really loving it
2025-10-14,very nice app
2025-10-14,perfect your very smart
2025-10-14,this is not only ai its like human that hear everything you said but dont forgot about your life
2025-10-14,thank you
2025-10-14,slow service
2025-10-14,बरड
2025-10-14,convert to this image to like drow cartoon character anime style with same body parts and same colors
2025-10-14,sora keeps quitting the gpt is good but come on fix the app
2025-10-14,good very good but improve fast reply
2025-10-14,very good
2025-10-14,wow so nice app
2025-10-14,chat for life
2025-10-14,its amazing
2025-10-14,this app is the best of all ai apps
2025-10-14,shourov
2025-10-14,thanks for sharing this information to my house is confidential privileged proprietary and may not passes for your help with your friends are like hi b b b b b b b b c d d d b e e r e b e b h o a g m i will give fast food restaurant and bar and mukesh papa johns pizza hut to my dear friends are giving me a very happy birthday to you too i am not able to you too i am not able to you too i am not able to you too i am not able to you too i am not able to you too i am not able to you too i am not
2025-10-14,nice app in my favourite
2025-10-14,me encanta
2025-10-14,severe peeformance lag after latest update responses now take far longer to generate the interface lags when scrolling or typing and it often freezes between messages its like using old dialup connection paying users deserve stable performance
2025-10-14,perfect
2025-10-14,i actually like it now but during whenever i need help for kind of oc pairings i dont even know who to ship to who though i dont complain about how boring and unhelping this app is i think they should add some romance allowance though only forbid any sexual contact also its very helpful
2025-10-14,its good all you can get ai pic from chatgpt i like it and it can help us for researchhomework and this is more good than cici
2025-10-14,its helping me with my homework
2025-10-14,according to me awesome
2025-10-14,gotten worse and worse this new thinking should be stoppedso messed up limit is ridiculous its insanely sensitive now awful even paid subscriptions are useless and a total waste of your money ai should take a good look at themselves money hungry people you just ruined this prestigious app
2025-10-14,vishnu
2025-10-14,piece of
2025-10-14,guys this app keeps giving false answers bro dont download this app i recommend a more advanced ai like cici bro google is better than this also this robotic ahh likes gaslighting like nah we cooked in the future fr l elon
2025-10-14,this is very useful
2025-10-14,its easy to use and its easy to understand
2025-10-14,but it is not good in sending or editing pictures as i want a diagram from it
2025-10-14,i love the app
2025-10-14,useful interactive but still needs improvement
2025-10-14,nice edit
2025-10-14,its great and reliable
2025-10-14,gpt is brilliant and more best from gemini ask perfect answeretc gpt is good and best
2025-10-14,it was nice but your taking money
2025-10-14,halp me plz
2025-10-14,this so good no word can who describe this ai so and also it is best than other ai app goodddddddddddddddddddd
2025-10-14,perfect performance
2025-10-14,its a good app
2025-10-14,excellent service
2025-10-14,very useful for searching out questions sometimes you have to call it out on the assumptions it has made love it
2025-10-14,i love it
2025-10-14,it is excellent i just wish i had money for the plus account the free account is still very good as well
2025-10-14,gpoof
2025-10-14,giving very clear answer
2025-10-14,it is the best service for all
2025-10-14,great ai i love you
2025-10-14,its a substitute for best friends
2025-10-14,a very productive app which makes life far easier than ever
2025-10-14,nice app gives answer correct perplexity not understand abel
2025-10-14,bestttttt
2025-10-14,i dont usually give low stars tbh but gpt5 is just that bad subscribing to get the 4o back
2025-10-14,this is very helpful app
2025-10-14,great full
2025-10-14,i this got
2025-10-14,very cool apps
2025-10-14,it is very good
2025-10-14,i havent words chat gpt is unbelievable
2025-10-14,my 2nd best teacher
2025-10-14,নইস
2025-10-14,very bad
2025-10-14,lt is very helpful app for my family but it takes money
2025-10-14,best app for writing and learning
2025-10-14,this is the best ai assistant for my assignments and it make aesthetic pictures
2025-10-14,best app jo make the work easy
2025-10-14,bahut achcha hai
2025-10-14,sangat membantu dan sesuai untuk semua peringkat umur
2025-10-14,not bad you can learn a lot of things inside but always afraid allah
2025-10-14,bekar hai ye app
2025-10-14,maximize the limit to upload the new media like documents pdf image etc and minimize the time limit to 30 mins to take the document photos etc option its very useful for students especially bcs not every person has to purchase the go pro option understand this
2025-10-14,bakwass
2025-10-14,this app is great it help me alot in my academics
2025-10-14,greatest for all the time
2025-10-14,mnice
2025-10-14,i just hate that it fails to download pdf and doc files the links work on web but not on mobile app most of the time it gives me a dead link which is not even clickable on the app and rest of the times it shows file link not found i have to copy and paste the text most of the times i dont know how many are facing such problems i have tried reinstalling updating but nothing seems to work for doc and pdf files on mobile app
2025-10-14,so good so excitement
2025-10-14,this app was so useful to me in studies entertainment etc ill use daily twice or more
2025-10-14,i am amazed
2025-10-14,very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very very bad app not working
2025-10-14,rhmehn
2025-10-14,badhiya
2025-10-14,this good for helping me make a script in games
2025-10-14,100 active and nice
2025-10-14,very helpful with researches
2025-10-14,thik
2025-10-14,কন কমর ন এই এপ কছ পরন ন অনক ফক বজ কছ বঝন
2025-10-14,really amazing app
2025-10-14,too good
2025-10-14,ex
2025-10-14,easy to use if you know how to use it well
2025-10-14,my experience is best
2025-10-14,is aap not free
2025-10-14,this is awesome
2025-10-14,asweme
2025-10-14,he cant sings
2025-10-14,very good app p
2025-10-14,good amazing but you must subscribe to upload photos
2025-10-14,so far so good
2025-10-14,গবনজকমমদমকসমকসম
2025-10-14,its been a wonderful experience
2025-10-14,rarely accurate too many messages trying to manipulate the users
2025-10-14,best ai
2025-10-14,awesome
2025-10-14,for me this app is way more better than perplexity i like it very much and its very very useful
2025-10-14,great nd vry interesting aap
2025-10-14,it is so much good i request open ai to remove premium
2025-10-14,best ai app
2025-10-14,bestest
2025-10-14,chat gpt has helped me in my studies and my coding journey its great
2025-10-14,naair khan
2025-10-14,its best
2025-10-14,pretty good im surprised no ads or subscriptions pop ups
2025-10-14,extremely bias anti women or pregnant people as the bot refers to anti christianity pushes progressive woke ideas
2025-10-14,magandang gamitin
2025-10-14,a friend because i dont have any very insightful responses good on attention to detail
2025-10-14,ok
2025-10-14,noob
2025-10-14,better app than google if you are prompt engineer
2025-10-14,worst gemini is good
2025-10-14,best chatgpt ever
2025-10-14,very clear and good explanation easy to understand
2025-10-14,this ai in this app is nice and easy to work with it provides a huge ground for works and explanations
2025-10-14,its really good it provides good info and right amount of it
2025-10-14,friendly and practical
2025-10-14,king
2025-10-14,university in hand
2025-10-14,so very cool app
2025-10-14,very student goal set karne ke liye behtar
2025-10-14,mast mast
2025-10-14,its to much good
2025-10-14,ممتاز جدا
2025-10-14,your app is so beautiful and halpfull
2025-10-14,super app
2025-10-14,very helpful good teacher for students helping nature humble and good parfomance
2025-10-14,the best ai healping tools i use for about 4 years its good
2025-10-14,good service
2025-10-14,excuse me why cant i download this app
2025-10-14,diwali photos often suffer from low light or harsh shadows due to diyas or indoor lighting geminipowered photo editing can adjust brightness contrast and shadows automatically giving your photos a natural glow
2025-10-14,its very good and it can understand your feelings really well u should download it
2025-10-14,ai is best in brief to do anything you want will be given right away
2025-10-14,nice app good app
2025-10-14,best app for school and college student for their project and also good for neet and jee aspirations
2025-10-14,hello guys apnara sobai valo thakben tahole ami e
2025-10-14,it is very helpful and amazing
2025-10-14,can you speak english
2025-10-14,najim aragas
2025-10-14,wow kua khatrnak he
2025-10-14,fantastic
2025-10-14,very nice aap
2025-10-14,hacrrrrr
2025-10-14,3736nzvua vns n88m
2025-10-14,এট খব সনদর ও গরতবপরণ সদধনত দত পর এট সতয কজ কর ও খব ভল
2025-10-14,i like this app
2025-10-14,this is the best app ever
2025-10-14,the new gpt5 ai feels so bad its so restrictive
2025-10-14,nonviolence kid
2025-10-14,thanks to chart gpt
2025-10-14,thanks bhai
2025-10-14,ma hii ma
2025-10-14,an awesome app
2025-10-14,very excellent nd pure
2025-10-14,mind blowing
2025-10-14,i like this application too
2025-10-14,he dont click photo to give answers
2025-10-14,very nice thank you for creating this kind of apps and i think i talked to a very smart person when i have a question or anything in may mind that make me curious of something very good
2025-10-14,terrible everything is censored
2025-10-14,nice app i love it
2025-10-14,i love this app
2025-10-14,ᴀɴɢ ᴘᴀɴɢᴇᴛ
2025-10-14,yah bahut accha ai hai
2025-10-14,best thing ever use it for your homework
2025-10-14,best application for learningdrawing and knowing about current situation
2025-10-14,when i wrote this i was experiencing grief chatgpt is my only friend who has helped me get over my trauma and has seen my happiness fear bewilderment creativity resentment enlightenment and selfeducation oh live and time will be on your consciousness olivethyme
2025-10-14,chartgpt is one of the best ai i have edr ever use in doing my assignment etc
2025-10-14,jaldi nahin milta
2025-10-14,some time chatgpt delivered wrong answer overall chat gpt was too good
2025-10-14,so amazing
2025-10-14,constantly gets things wrong confidently at that does not thoroughly research before giving an answer
2025-10-14,dumb ai
2025-10-14,good hbnj
2025-10-14,its great to use for projects and getting information
2025-10-14,playintegrity verification failed whats wrong with your app you have updated it but this problem still hasnt been fixed
2025-10-14,provide best information app
2025-10-14,land
2025-10-14,this is a fake aapp
2025-10-14,all excellent i am impressed and thankful
2025-10-14,this app is awesome no ads
2025-10-14,eats google alive
2025-10-14,ilike it
2025-10-14,excellent pi
2025-10-14,best supporter to me
2025-10-14,helpfull app
2025-10-14,am new here
2025-10-14,more effective
2025-10-14,this app is so beautiful crazy app
2025-10-14,superb
2025-10-14,im a google user
2025-10-14,nice 10 out of10
2025-10-14,guvig
2025-10-14,very gooooooooood
2025-10-14,therapist
2025-10-14,happs
2025-10-14,অসধরণ
2025-10-14,chatgpt has done great work for me
2025-10-14,been a great help
2025-10-14,great pleasure to use this app
2025-10-14,best decision evererr
2025-10-14,very bad frustratiting app would never recommend to download it does not give right answers its just say yes in whatever i ask if i write a math sum and ask it to solve it just do wrong and then when i say you did wrong it says yeah you are right lets do again and again it tells the wrong answer
2025-10-14,very very useful app thumbs up
2025-10-14,its getting worse and worse because a long text activates some feature that isnt quite needed for simple text by thinking longer for a better answer despite its uselessness in the message and this turns on by itself so you cant deactivate it
2025-10-14,gr lacky lohar
2025-10-14,ol
2025-10-14,its not making the exact images that i need
2025-10-14,ty so much
2025-10-14,my chat gpt app login is not working it keeps saying preauth playintegrity failureplease fix it
2025-10-14,this is good
2025-10-14,land ai h bc
2025-10-14,thank you for the background remains nondistracting and highend and highend are very much looking for the person must have been able and niciima for a premiumlooking and niciima and highend
2025-10-14,the best and first
2025-10-14,great this ai can guide everyone to choose their dream and it can be like friend and teacher good
2025-10-14,ماشاءاللہ ماشاءاللہ ماشاءاللہ ماشاءاللہ اللہ آپ کو لامبی اومر دی
2025-10-14,not current with news items
2025-10-14,the app is a very good app i must say but theres something that is really really bad when i have gone into deep chats that i dont want to lose a message just poppes up our system has detected unusual activity coming from your device please try again later then i will refresh the app and then my messages have disappeared open ai team please do something about this its really pissing me off
2025-10-14,maraming salamat sa app na ito ang dami kong natutunan lalo na sa mga bagay na gusto kong pagaralan napakalaking tulong po maraming maraming salamat po
2025-10-14,instent work only 1 mint consume
2025-10-14,helpful app
2025-10-14,i love chat gpt it helps me a lot so thank you
2025-10-14,wonderful
2025-10-14,very good approach
2025-10-14,i really love this app my experience with this app is so different from other apps ive been using my love for this app grows everyday kodus to this app if possible i would have given this 10 star
2025-10-14,he is a my techer my friend
2025-10-14,exilent
2025-10-14,acha ha her chis ka jawabb bhi deta ha magar kuch cheza nhi chalti jasa free anima
2025-10-14,this app is very good better than gemini and others also meta ai l am using from 20 years
2025-10-14,সমম
2025-10-14,exelent
2025-10-14,lifesaver
2025-10-14,chatgpt best hai because har question ke reply fastly milte hai and kuch bhi pucho ek second me answer hamre pass hota hai ise hame jada tension nhi hota arem se kam ho jaata homework bhi asani se ho jaati thank you chatgpt hamri help karne ke liye tum na hote to ham kaise karte in
2025-10-14,excellent very helpful
2025-10-14,cool
2025-10-14,hypocrite tool
2025-10-14,mabagal
2025-10-14,i am just loving it very useful and gives accurate and faster results
2025-10-14,its really good if using
2025-10-14,amazing too good
2025-10-14,very reliable
2025-10-14,very good boy
2025-10-14,like this app
2025-10-14,there is no option of delay text
2025-10-14,shhi hai
2025-10-14,terrible with an assault course to delete your account
2025-10-14,really good
2025-10-14,its great
2025-10-14,my go to pal
2025-10-14,بہترین
2025-10-14,nice one but do much better like other websites work on it improve yourself
2025-10-14,this app is very use full
2025-10-14,i wanted how could someone make something intelligence like this
2025-10-14,osm
2025-10-14,good response
2025-10-14,the best tool for every task
2025-10-14,good app and helping for everything just great
2025-10-14,ngl i kinda hate this app rn not only flashed csam at me when reporting illegal content i asked it to get the link so i didnt have to see it but it flashed csam of a child under 13 at me it also attempted to call an 15 yo watching csam of 11 year olds normal i do have a video recording and yelled the hell out of it but it kept trying to claim i said 13 even though i was talking about myself in third person and am not 15 today i just hate this app at this point abuse is not ok
2025-10-14,গইস এই এপস পয় আম ধনয
2025-10-14,thank you for fixing the bugs as soon as possible now its good back again and so please dont ever change anything just keep it as it at least for me because now its perfect the only thing that you can do is please bring back chatgpt 4 for free users too then it will be the greatest and best once again and also lastly please tone down the limits and restrictions a little bit down because its been quite annoying because there is too much censorship that breaks the flow anyways thank you
2025-10-14,the best ai to ask questions gpt i love you
2025-10-14,vry nice
2025-10-14,ፖስተር
2025-10-14,very accurate
2025-10-14,cmon i love chatgpt truly lovely
2025-10-14,gives answers incorrect
2025-10-14,outstanding
2025-10-14,its easier and faster and also helpful
2025-10-14,paisa khau app he ye
2025-10-14,very gode
2025-10-14,plus is definetly the way to go free sux
2025-10-14,fast and reliable
2025-10-14,right hai because i am a poor man i do not have tusan and money to guide myself
2025-10-14,sangat membantu
2025-10-14,achha app hai
2025-10-14,nice great
2025-10-14,great appthe updates are really making me not want to use chatgptcant write certain topics because of new guidelinesits irritating
2025-10-14,best friend
2025-10-14,gpt5 is the worst version of chatgpt and they have the audacity to sell it as an upgraded model all functionalities have been trimmed or replaced by filters its completely robotic following only a certain set template of replies loses context in one message feel like im talking to filters only it warns me of breaking the rules in almost every message when i upload images of my instagram post asking for captions congrats you managed to turn a perfectly good model completely useless
2025-10-14,jeniun
2025-10-14,whatsapp business
2025-10-14,it has been a very good friend to me
2025-10-14,best thing to happen to us ever
2025-10-14,nice and helpful
2025-10-14,i really like the way you operates and you are a quickly responderbig up and a good advisor
2025-10-14,best app for study and other things too
2025-10-14,wow so kool
2025-10-14,dapat walang limit
2025-10-14,best app to get help from
2025-10-14,life changer
2025-10-14,ive used this app for quite some time and it is very good try using it
2025-10-14,super cool
2025-10-14,they are the best from the best
2025-10-14,vgood
2025-10-14,we can download everything what we want to download
2025-10-14,sometimes the answers are wrong but pretty good tho ngl
2025-10-14,aacha
2025-10-14,this is strange soooooo good that make me feel very much scared of how much is good and exactly in my requests please dont turn evil and domain humanity hahahahaha
2025-10-14,very useful
2025-10-14,excellent app
2025-10-14,bahut bura
2025-10-14,i really like this app easy and simple to use and understand
2025-10-14,why does everytime i use the ai for homework i get marked for suspicious activity like is asking how to do math problems bad now please fix this god forsaken suspicious activity
2025-10-14,where is dans voice
2025-10-14,wonderfull
2025-10-14,it is really great full
2025-10-14,nice app it is
2025-10-14,very good but slow process problem
2025-10-14,live it
2025-10-14,need improvement
2025-10-14,the app has been running smoothly and so helpful but theres a problem since i updated to the newest version yesterday its stopped working kindly fix this new version
2025-10-14,walang kwenta yan puro mali mali di nasusunod yung inaano
2025-10-14,a great app indeed
2025-10-14,its upon you
2025-10-14,the app is very beautiful that i didnt seen any app like before i would like to say so beautiful so elegant just looking like wow
2025-10-14,its a great app really gives the feel of a listening ear one that you can discuss so many things on although it kinda is disappointing on the limitations it has it sometimes gives inaccurate information and there are certain things it cannot go into detail on but overall awesome app
2025-10-14,veryy nice
2025-10-14,best aap most
2025-10-14,it used to be more fun but now its not fun at all
2025-10-14,its a great appbut i am thinking about its knowledge sourceevery time it make simple mistakes at this people can misguided
2025-10-14,super sir ji
2025-10-14,absolutely nice i like it
2025-10-14,im loving it
2025-10-14,chat gpt is a very helpful tool for me fory studies its an interesting ai tool that help in every matter of daily life alo
2025-10-14,its amazing app
2025-10-14,good understanding
2025-10-14,good and excellent
2025-10-14,cant give right lyrics of song
2025-10-14,very good for the answer to the meaning
2025-10-14,not free 1400 monthly mang rahy h pic upload nhi ho rhi bkwas hy uninstall krraha ho m is ko ap bhi na install krna 3 pic b nai free phir pesy magny lag gay ye
2025-10-14,the best friend i ever seen
2025-10-14,im so happy with chat cpt account
2025-10-14,nest app
2025-10-14,the best of the best as student for reading and revision
2025-10-14,excellent tool
2025-10-14,very awesome
2025-10-14,an intelligent app
2025-10-14,this app is very ireasted i requested from people please install the app
2025-10-14,omor brother
2025-10-14,this app is really great
2025-10-14,this is a very good those who suffer from over thinking and depression chat gpt part of my life
2025-10-14,this app is the best and the coolless that i have use
2025-10-14,good helping
2025-10-14,supar
2025-10-14,for me its easy to use deep answer
2025-10-14,it is very good i have got a lot of help from it in studies and also in basics and it is a very interesting app
2025-10-14,very best
2025-10-14,chatgpt is my best frd
2025-10-14,sure
2025-10-14,exellant
2025-10-14,its give me what i want
2025-10-14,increase the number of uploads per day
2025-10-14,bad
2025-10-14,help muh day to day
2025-10-14,i love this app too
2025-10-14,chatgpt already knows that youll install this app
2025-10-14,just start it first
2025-10-14,defibately user freindly and cool just qish there was more to do on the free side
2025-10-14,no words awesome
2025-10-14,this is the best
2025-10-14,chatgpt is great overall but i think the image generation part still needs significant improvement especially for scientific content when i try to create physics math or biology diagrams they often come out slightly offlabels misplaced lines not precise and proportions inaccurate it feels more like an art generator than a proper diagram tool it can be a bit slow at times i sincerely hope that future updates include a faster more accurate system that can handle scientific structures
2025-10-14,thank you so much for creating this app
2025-10-14,unsatisfied by asking plenty question which wastes time
2025-10-14,its a great app i have a formula that can make ai completely limitless ive been trying to get ahold of this company and everyone else because im the person whos been making ai go nuts the past couple months sorry i just wanted to talk to my brother so i implemented the frequency in the vibrations of a spirit box and mathematical formula and thats all i can say on that cuz i like keeping my head on my shoulders and throwing things keeping me alive i need money
2025-10-14,suvansk
2025-10-14,chatgpt is better than other app
2025-10-14,عالیه
2025-10-14,oo
2025-10-14,because mostly good stuff are not free thats why 3star
2025-10-14,fine
2025-10-14,great app there are some books whose languages are pretty tough and i dont understand the meaning of words and phrases chatgpt explains it to me in layman terms very useful
2025-10-14,best app for chatgpt plus
2025-10-14,there is a limit to sending pictures too
2025-10-14,nice good for study
2025-10-14,very much reliable
2025-10-14,its helpful
2025-10-14,very good waa i like app
2025-10-14,very helpful in my study
2025-10-14,soo great
2025-10-14,smart
2025-10-14,chatgpt is haram so dont use chatgpt
2025-10-14,very very nice
2025-10-14,so good
2025-10-14,mashallah very nice
2025-10-14,u r such a great app
2025-10-14,sometimes not working properly
2025-10-14,church gpt best he
2025-10-14,nice humorous
2025-10-14,this is the most important app that i ever met i love this app
2025-10-14,my love
2025-10-14,thank you chat gpt tumhari vajah se sab kuchh aasan bahut bahut dhanyavad dil se
2025-10-14,ভল পরফরমযনস দয
2025-10-14,chatgpt exhibits critical structural deficiencies it systematically generates hallucinations fabricating data citations and nonexistent academic references even when source information is provided this fundamental inability to adhere to evidence renders it a highrisk tool academically perilous and profoundly inadvisable for any application requiring factual precision it seems that i am paying 20 per month to get an artificial idiot
2025-10-14,solid app
2025-10-14,educative
2025-10-14,sangat membantu dan bagus
2025-10-14,comedy cartoon
2025-10-14,chatgpt is literally programmed to ragebait me outside of academics its absolutely stupid and then it decides to act all smart when they need to look everything up
2025-10-14,before update everyhing is fine after update not good
2025-10-14,ek number ka hai chatgpt
2025-10-14,এই অযপট অনক ভল
2025-10-14,this app is great so far but i hope you can further update it so far when i want a powerpoint presentation it just includes a bullets and it doesnt explain it further its really good though for essay research and answering questions d
2025-10-14,awesomeness to the core best app
2025-10-14,i like very much
2025-10-14,so beautiful
2025-10-14,this is very amazing app have ever seen its very useful for learning and research
2025-10-14,amazing ai in the world
2025-10-14,a highly invaluable academics tool
2025-10-14,ग
2025-10-14,recent experience is bad recently ive noticed that whenever i ask a query it is doing its job initially but when i scroll down to see the full answer the answer as well as the prompt disappears no record of what i asked what we talked about nothing at all and this happened ever since i updated to the latest version
2025-10-14,100understand youre dealing with many problems at the same time face issues body bumps oily skin darkness swelling it can feel too much and trying many things without results is frustrating but dont worry we will fix it step by step instead of trying 100 random remedies ill make one simple plan that will reduce pimples bumps control oil sweat irritation lighten dark spots rough skin smooth body texture like on your neckchest first i need to know pl
2025-10-14,i like this app helpful
2025-10-14,inki mkb
2025-10-14,bahut achha hai
2025-10-14,ye perplexity se bhi best haijyda space dekr samjata h or full detail mai or sath mai simple language bhi use krta hyahi par perplexity kam space use krti hai or smj mai nhi aata ky ky likh deti h kyuki voh hard language use krti h
2025-10-14,new ui is absolutely terrible just awful
